0,5,68639779779888,5,68639856455890,0.14117648,1.0
0,5,68639982394889,5,68640045608889,0.14117648,1.0
0,6,68640217845889,6,68640297861889,0.14117648,1.0
0,0,68640516120889,0,68640611801889,0.1254902,1.0
0,E,68640815238889,E,68640911030889,0.13333334,1.0
1,5,68641238214889,5,68641301402889,0.15686275,1.0
1,5,68641427202889,5,68641506991889,0.14509805,1.0
1,6,68641664013889,6,68641743500889,0.14901961,1.0
1,0,68641977878889,0,68642073852889,0.13725491,1.0
1,E,68642261763889,E,68642357237889,0.13725491,1.0
2,5,68642684609889,5,68642763887889,0.15294118,1.0
2,5,68642889868889,5,68642969486889,0.15294118,1.0
2,6,68643095466889,6,68643174864889,0.14117648,1.0
2,0,68643393626890,0,68643505691889,0.12941177,1.0
2,E,68643709261889,E,68643805107889,0.12941177,1.0
3,5,68644506826889,5,68644583223889,0.15294118,1.0
3,5,68644709190889,5,68644772142889,0.12941177,1.0
3,6,68645442990890,6,68645519482890,0.15294118,1.0
3,0,68646313970889,0,68646406532890,0.16078432,1.0
3,E,68646641167890,E,68646736805890,0.14509805,1.0
4,5,68647064332890,5,68647159765890,0.14509805,1.0
4,5,68647270380890,5,68647333479890,0.11764707,1.0
4,6,68647552541890,6,68647648448890,0.1764706,1.0
4,0,68647929329890,0,68648041369890,0.1254902,1.0
4,E,68648306969890,E,68648386342890,0.14117648,1.0
5,5,68648729228890,5,68648792177890,0.15294118,1.0
5,5,68648918346890,5,68648981232890,0.14117648,1.0
5,6,68649200214890,6,68649263167890,0.16078432,1.0
5,0,68649574859890,0,68649638145890,0.13333334,1.0
5,E,68650309226889,E,68650402062889,0.14117648,1.0
6,5,68650915092889,5,68650978202889,0.14901961,1.0
6,5,68651104093889,5,68651167264889,0.13333334,1.0
6,6,68651714370889,6,68651790895889,0.15294118,1.0
6,0,68652273066889,0,68652352456889,0.15686275,1.0
6,E,68652602399889,E,68652698052889,0.13333334,1.0
7,5,68653056369889,5,68653135545889,0.15294118,1.0
7,5,68653277142889,5,68653372983889,0.15686275,1.0
7,6,68653530167889,6,68653690961889,0.14509805,1.0
7,0,68653863421889,0,68653959378889,0.13333334,1.0
7,E,68654209331889,E,68654338198889,0.1254902,1.0
8,5,68657543308891,5,68657635719891,0.14509805,1.0
8,5,68657823641891,5,68657903294891,0.14509805,1.0
8,6,68658076193891,6,68658203920891,0.14509805,1.0
8,0,68658422674891,0,68658551153891,0.121568635,1.0
8,E,68658832378891,E,68659009619891,0.13333334,1.0
9,5,68659243778891,5,68659323440891,0.13725491,1.0
9,5,68659496106890,5,68659591377890,0.13333334,1.0
9,6,68659764078890,6,68659892594890,0.15686275,1.0
9,0,68660516689889,0,68660625768889,0.14901961,1.0
9,E,68660860505889,E,68661021458889,0.14509805,1.0
