0,5,86296312065875,5,86296372243875,0.1254902,1.0
0,5,86296436486875,5,86296515973875,0.13725491,1.0
0,6,86296688338875,6,86296784259875,0.1254902,1.0
0,0,86297361838875,0,86297438476874,0.11764707,1.0
0,E,86297873987874,E,86297937096874,0.09019608,1.0
1,5,86298701506871,5,86298794648874,0.14901961,1.0
1,5,86298904774875,5,86298951784875,0.121568635,1.0
1,6,86299093051874,6,86299221642875,0.15294118,1.0
1,0,86299518236875,0,86299597466875,0.10196079,1.0
1,E,86300191627874,E,86300250772874,0.09411766,1.0
2,5,86300781246874,5,86300858833874,0.14117648,1.0
2,5,86300908189874,5,86301003579874,0.14509805,1.0
2,6,86301581742875,6,86301690803874,0.1764706,1.0
2,0,86301863466874,0,86301975324875,0.11764707,1.0
2,E,86302101435874,E,86302229692874,0.09019608,1.0
3,5,86302776232875,5,86302852877874,0.13333334,1.0
3,5,86303679503871,5,86303740305875,0.16862746,1.0
3,6,86303912441876,6,86303992172875,0.18039216,1.0
3,0,86304272847875,0,86304352379875,0.1137255,1.0
3,E,86304695585875,E,86304808075874,0.12941177,1.0
4,5,86305540308874,5,86305616747874,0.15686275,1.0
4,5,86305696268874,5,86305759408874,0.15294118,1.0
4,6,86306257312874,6,86306352819874,0.16862746,1.0
4,0,86306602585874,0,86306682226874,0.1137255,1.0
4,E,86307260367874,E,86307320264874,0.098039225,1.0
5,5,86307959977875,5,86308020343875,0.16470589,1.0
5,5,86308099986874,5,86308162921874,0.15686275,1.0
5,6,86308258144874,6,86308353839874,0.18039216,1.0
5,0,86308572855874,0,86308652591874,0.1137255,1.0
5,E,86308793923874,E,86308889965874,0.10588236,1.0
6,5,86309544770875,5,86309621628875,0.16470589,1.0
6,5,86309716547875,5,86309779587875,0.16862746,1.0
6,6,86309936655875,6,86310016314875,0.13725491,1.0
6,0,86310374591875,0,86310421469875,0.10196079,1.0
6,E,86310547240875,E,86310643322875,0.10196079,1.0
7,5,86311422686876,5,86311515055875,0.16470589,1.0
7,5,86311564096875,5,86311643445875,0.16078432,1.0
7,6,86311723408875,6,86311834907874,0.13725491,1.0
7,0,86311992367875,0,86312088107875,0.09411766,1.0
7,E,86312182887875,E,86312278787875,0.08627451,1.0
8,5,86313026612875,5,86313087208875,0.14117648,1.0
8,5,86313166500874,5,86313229713874,0.14509805,1.0
8,6,86313371097874,6,86313482932875,0.16470589,1.0
8,0,86313624656875,0,86313703920875,0.08627451,1.0
8,E,86314343666874,E,86314403903874,0.09019608,1.0
9,5,86315724927875,5,86315801108875,0.16078432,1.0
9,5,86315849556875,5,86315945820875,0.15686275,1.0
9,6,86316040939875,6,86316153151875,0.16470589,1.0
9,0,86316310333875,0,86316405650875,0.078431375,1.0
9,E,86316469593875,E,86316565438875,0.08627451,1.0
