0,5,2730262774987,5,2730486282984,0.15294118,1.0
0,5,2731327091984,5,2731403539984,0.14901961,1.0
0,6,2731545284983,6,2731641037984,0.17254902,1.0
0,0,2732559244983,0,2732636133984,0.16078432,1.0
0,E,2733461862985,E,2733522019985,0.16470589,1.0
1,5,2734455593984,5,2734598048983,0.17254902,1.0
1,5,2735578985979,5,2735671109984,0.15686275,1.0
1,6,2735827991984,6,2735907530984,0.19215688,1.0
1,0,2736454044984,0,2736546950984,0.16862746,1.0
1,E,2737156805984,E,2737232623984,0.16078432,1.0
2,5,2737903479984,5,2738045510984,0.18039216,1.0
2,5,2738855166983,5,2738948308983,0.16078432,1.0
2,6,2739136481983,6,2739215905983,0.16862746,1.0
2,0,2739918535982,0,2740010790984,0.16862746,1.0
2,E,2740557803984,E,2740634010984,0.16470589,1.0
3,5,2741320753984,5,2741445719983,0.16862746,1.0
3,5,2742317542983,5,2742442909983,0.15294118,1.0
3,6,2742584823983,6,2742664079983,0.16470589,1.0
3,0,2743350996983,0,2743443218983,0.16470589,1.0
3,E,2744253278984,E,2744313421984,0.15686275,1.0
4,5,2744984432981,5,2745093586984,0.17254902,1.0
4,5,2745889136982,5,2745981812985,0.15294118,1.0
4,6,2746154032983,6,2746233798983,0.16078432,1.0
4,0,2747058896985,0,2747152280984,0.15686275,1.0
4,E,2747915455983,E,2748008915985,0.15294118,1.0
5,5,2748490888983,5,2748635653983,0.16078432,1.0
5,5,2749415169985,5,2749491117985,0.15294118,1.0
5,6,2749663828983,6,2749726822983,0.14509805,1.0
5,0,2751017510983,0,2751109484983,0.16078432,1.0
5,E,2751826896984,E,2751887106984,0.14901961,1.0
6,5,2755440883986,5,2755581623984,0.16862746,1.0
6,5,2756345450984,5,2756438248984,0.14901961,1.0
6,6,2756595033984,6,2756690870984,0.18039216,1.0
6,0,2757656730988,0,2757748761984,0.15686275,1.0
6,E,2758466274985,E,2758558871985,0.16862746,1.0
7,5,2759306726985,5,2759432667984,0.18039216,1.0
7,5,2760258245984,5,2760350959984,0.17254902,1.0
7,6,2760554543984,6,2760634161983,0.1764706,1.0
7,0,2761552497984,0,2761629471984,0.16470589,1.0
7,E,2762594710979,E,2762687917985,0.15686275,1.0
8,5,2763327319985,5,2763453320984,0.16078432,1.0
8,5,2764200968984,5,2764310205984,0.15294118,1.0
8,6,2764498335984,6,2764577939984,0.16862746,1.0
8,0,2765403340984,0,2765496075984,0.15686275,1.0
8,E,2766336782982,E,2766446127983,0.16078432,1.0
9,5,2767334785984,5,2767427177984,0.16862746,1.0
9,5,2768314383983,5,2768407586984,0.15686275,1.0
9,6,2768626203984,6,2768738423984,0.18039216,1.0
9,0,2769611742986,0,2769703566984,0.16862746,1.0
9,E,2770451588985,E,2770512163985,0.16470589,1.0
