0,5,13371398790022,5,13371491955022,0.1764706,1.0
0,5,13372038888022,5,13372131634022,0.19215688,1.0
0,6,13372662924021,6,13372837774021,0.18039216,1.0
0,0,13373415617021,0,13373573951021,0.17254902,1.0
0,E,13374569654020,E,13374859136021,0.15294118,1.0
1,5,13378131742022,5,13378289962021,0.19215688,1.0
1,5,13378725628021,5,13378870609021,0.19607845,1.0
1,6,13379352626021,6,13379513791021,0.18431373,1.0
1,0,13380045235021,0,13380203672021,0.1764706,1.0
1,E,13381958667022,E,13382165884021,0.15294118,1.0
2,5,13383859134019,5,13384000909022,0.19215688,1.0
2,5,13384189296021,5,13384284887022,0.20000002,1.0
2,6,13384816307021,6,13384942257021,0.1764706,1.0
2,0,13385566310022,0,13385740984022,0.15686275,1.0
2,E,13386876308020,E,13387116221022,0.15294118,1.0
3,5,13388886295940,5,13389011751021,0.19215688,1.0
3,5,13389199698021,5,13389311718021,0.19215688,1.0
3,6,13389793852021,6,13389954957021,0.15686275,1.0
3,0,13390579082022,0,13390704894022,0.16078432,1.0
3,E,13391437409020,E,13391661095021,0.14117648,1.0
4,5,13393571250009,5,13393696268022,0.18823531,1.0
4,5,13393868913021,5,13393997256021,0.19607845,1.0
4,6,13394463918021,6,13394625037021,0.16470589,1.0
4,0,13395091638021,0,13395269206022,0.15294118,1.0
4,E,13395894709022,E,13396067777022,0.15294118,1.0
5,5,13397342119022,5,13397484469022,0.1764706,1.0
5,5,13398077606022,5,13398186845022,0.1764706,1.0
5,6,13398638050021,6,13398766469021,0.16470589,1.0
5,0,13399171356021,0,13399365182021,0.15294118,1.0
5,E,13399943951021,E,13400084974021,0.15294118,1.0
6,5,13401700343022,5,13401858598021,0.18039216,1.0
6,5,13402699609020,5,13402809119023,0.18431373,1.0
6,6,13403325071021,6,13403499858021,0.15686275,1.0
6,0,13403951023021,0,13404079378021,0.15686275,1.0
6,E,13405183364021,E,13405358358022,0.15294118,1.0
7,5,13406926884022,5,13407101347021,0.18431373,1.0
7,5,13407788214021,5,13407913372021,0.18823531,1.0
7,6,13408444497021,6,13408586793021,0.18431373,1.0
7,0,13409099971021,0,13409293733021,0.15686275,1.0
7,E,13410010917023,E,13410316783021,0.14509805,1.0
8,5,13411948416021,5,13412219800021,0.16862746,1.0
8,5,13412766758021,5,13412892669021,0.19607845,1.0
8,6,13413470500021,6,13413612611021,0.17254902,1.0
8,0,13414128353021,0,13414319322021,0.15294118,1.0
8,E,13414912923022,E,13415201709022,0.15294118,1.0
9,5,13420348756022,5,13420490642022,0.18039216,1.0
9,5,13420941836022,5,13421053846022,0.18039216,1.0
9,6,13421616284022,6,13421774820021,0.17254902,1.0
9,0,13422367828021,0,13422559099021,0.15686275,1.0
9,E,13423322436022,E,13423677461021,0.14901961,1.0
