0,5,55604257074903,5,55604333627905,0.1254902,1.0
0,5,55604413040905,5,55604492403906,0.12941177,1.0
0,6,55604664945905,6,55604777472905,0.121568635,1.0
0,0,55605073318905,0,55605168739905,0.1137255,1.0
0,E,55605558399905,E,55605669991905,0.1137255,1.0
1,5,55606043989905,5,55606107081905,0.11764707,1.0
1,5,55606186399905,5,55606265842905,0.1137255,1.0
1,6,55606407299905,6,55606503162905,0.1137255,1.0
1,0,55606753066905,0,55606832426905,0.10196079,1.0
1,E,55607051200905,E,55607147005905,0.10588236,1.0
2,5,55607489638905,5,55607552678905,0.11764707,1.0
2,5,55607632081905,5,55607711396905,0.1254902,1.0
2,6,55607852800905,6,55607932351905,0.1254902,1.0
2,0,55608166670905,0,55608262268905,0.1137255,1.0
2,E,55608465824905,E,55608545247905,0.10196079,1.0
3,5,55608841711905,5,55608920642905,0.1137255,1.0
3,5,55609000411905,5,55609079473905,0.121568635,1.0
3,6,55609236507905,6,55609315902905,0.1137255,1.0
3,0,55609581304905,0,55609660734905,0.1137255,1.0
3,E,55609925824905,E,55610021523905,0.10196079,1.0
4,5,55610302342905,5,55610397734905,0.10980393,1.0
4,5,55610477214905,5,55610556560905,0.10980393,1.0
4,6,55610697939905,6,55610777388905,0.1137255,1.0
4,0,55611011971905,0,55611107596905,0.1137255,1.0
4,E,55611357154905,E,55611452808905,0.10196079,1.0
5,5,55611795896905,5,55611858847905,0.1137255,1.0
5,5,55611938143905,5,55612017635905,0.121568635,1.0
5,6,55612143575905,6,55612223352905,0.1137255,1.0
5,0,55612473114905,0,55612552620905,0.1137255,1.0
5,E,55612771432905,E,55612883389905,0.09411766,1.0
6,5,55613148977905,5,55613228129905,0.11764707,1.0
6,5,55613307461905,5,55613387036905,0.1254902,1.0
6,6,55613544101905,6,55613639519905,0.1254902,1.0
6,0,55613904928905,0,55614000854905,0.11764707,1.0
6,E,55614219454905,E,55614298929905,0.098039225,1.0
7,5,55614595243905,5,55614674468905,0.11764707,1.0
7,5,55614753935905,5,55614833365905,0.1137255,1.0
7,6,55614990408905,6,55615069671905,0.10588236,1.0
7,0,55615335061905,0,55615414427905,0.1137255,1.0
7,E,55615679655905,E,55615759416905,0.09411766,1.0
8,5,55616086676905,5,55616166106905,0.10196079,1.0
8,5,55616245542905,5,55616308651905,0.1137255,1.0
8,6,55616465602905,6,55616561384905,0.11764707,1.0
8,0,55616795816905,0,55616875084905,0.10980393,1.0
8,E,55617140387905,E,55617236011905,0.098039225,1.0
9,5,55617547886905,5,55617643410905,0.10980393,1.0
9,5,55617707325905,5,55617786744905,0.11764707,1.0
9,6,55617943613905,6,55618055538905,0.10588236,1.0
9,0,55618305309905,0,55618384638905,0.11764707,1.0
9,E,55618665612905,E,55618744877905,0.10588236,1.0
