0,1,2,3,4,5
5,9950780000000.0,5,9950850000000.0,0.18039216,1
5,9950930000000.0,5,9951030000000.0,0.19607845,1
6,9951200000000.0,6,9951310000000.0,0.19215688,1
0,9951550000000.0,0,9951630000000.0,0.16470589,1
