0,5,64123612247018,5,64123767948018,0.16862746,1.0
0,5,64123986627018,5,64124147518018,0.20392159,1.0
0,6,64124443741018,6,64124604914018,0.18823531,1.0
0,0,64125322356019,0,64125512931019,0.20000002,1.0
0,E,64125762924019,E,64125956692019,0.23137257,1.0
1,5,64126346166019,5,64126474291019,0.20784315,1.0
1,5,64126724340019,5,64126885372019,0.20784315,1.0
1,6,64127104063019,6,64127264882019,0.18431373,1.0
1,0,64127576866019,0,64127721369019,0.23137257,1.0
1,E,64127971491019,E,64128132564019,0.20392159,1.0
2,5,64128521639019,5,64128698812019,0.19607845,1.0
2,5,64128917701019,5,64129078649019,0.22352943,1.0
2,6,64129313221019,6,64129473866019,0.18823531,1.0
2,0,64129832173019,0,64129993167019,0.16470589,1.0
2,E,64130196501019,E,64130325082019,0.20392159,1.0
3,5,64130683436019,5,64130779073019,0.18823531,1.0
3,5,64130982385019,5,64131111034019,0.18823531,1.0
3,6,64131438384019,6,64131615521019,0.21960786,1.0
3,0,64131911775019,0,64132040427019,0.16862746,1.0
3,E,64132351787019,E,64132545381019,0.16470589,1.0
4,5,64132965597019,5,64133061544019,0.18431373,1.0
4,5,64133388706019,5,64133533252019,0.21568629,1.0
4,6,64133845300019,6,64133989720019,0.18039216,1.0
4,0,64134317145019,0,64134461913019,0.19215688,1.0
4,E,64134742664019,E,64134887621019,0.16862746,1.0
5,5,64135245842019,5,64135341172019,0.19215688,1.0
5,5,64135699371019,5,64135827641019,0.20392159,1.0
5,6,64136124010019,6,64136252614019,0.18431373,1.0
5,0,64136672740019,0,64136801399019,0.17254902,1.0
5,E,64137112940019,E,64137290414019,0.17254902,1.0
6,5,64137664272019,5,64137776113019,0.1764706,1.0
6,5,64138088014019,5,64138248799019,0.20392159,1.0
6,6,64138545158019,6,64138673595019,0.19215688,1.0
6,0,64139094054019,0,64139238518019,0.19215688,1.0
6,E,64139534568019,E,64139695351019,0.1764706,1.0
7,5,64140115645019,5,64140227200019,0.19215688,1.0
7,5,64140647577019,5,64140743478019,0.20000002,1.0
7,6,64141086221019,6,64141230975019,0.20392159,1.0
7,0,64141604384019,0,64141716800019,0.17254902,1.0
7,E,64142012859019,E,64142141251019,0.18823531,1.0
8,5,64142546213019,5,64142658088019,0.17254902,1.0
8,5,64142923256019,5,64143034958019,0.20392159,1.0
8,6,64143393590019,6,64143505324019,0.18431373,1.0
8,0,64143863568019,0,64143991838019,0.17254902,1.0
8,E,64144350099019,E,64144478597019,0.14901961,1.0
9,5,64144821131019,5,64144982517019,0.18039216,1.0
9,5,64145309621019,5,64145487158019,0.23529413,1.0
9,6,64145814341019,6,64145910142019,0.19215688,1.0
9,0,64146392111019,0,64146585877019,0.16470589,1.0
9,E,64146820252019,E,64146932381019,0.18431373,1.0
